Date,Close,High,Low,Open,Volume
1973-01-22,0.19622088968753815,0.19622088968753815,0.19622088968753815,0.19622088968753815,0
1973-01-26,0.17980459332466125,0.17980459332466125,0.17980459332466125,0.17980459332466125,0
1973-01-29,0.17980459332466125,0.17980459332466125,0.17980459332466125,0.17980459332466125,0
1973-01-30,0.17980459332466125,0.17980459332466125,0.17980459332466125,0.17980459332466125,0
1973-02-01,0.1812993288040161,0.1812993288040161,0.1812993288040161,0.1812993288040161,0
1973-02-07,0.17308887839317322,0.17308887839317322,0.17308887839317322,0.17308887839317322,0
1973-02-08,0.17308887839317322,0.17308887839317322,0.17308887839317322,0.17308887839317322,0
1973-02-12,0.16936224699020386,0.16936224699020386,0.16936224699020386,0.16936224699020386,0
1973-02-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-02-22,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-02-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-02-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-02-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-02-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-01,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-20,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-22,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-29,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-03-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-03,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-25,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-04-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-01,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-03,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-22,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-25,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-29,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-05-31,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-01,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-20,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-22,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-25,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-06-29,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-03,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-20,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-25,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-07-31,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-01,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-03,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-20,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-22,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-29,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-08-31,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-20,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-25,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-09-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-01,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-03,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-22,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-25,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-29,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-10-31,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-01,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-20,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-29,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-11-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-03,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-20,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-26,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-27,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1973-12-31,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-02,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-03,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-09,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-10,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-16,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-17,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-18,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-21,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-22,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-23,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-24,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-25,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-28,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-29,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-30,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-01-31,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-01,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-04,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-05,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-06,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-07,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-08,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-11,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-12,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-13,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-14,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-15,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
1974-02-19,0.17159909009933472,0.17159909009933472,0.17159909009933472,0.17159909009933472,0
